Question;Rep1;Rep2;Rep3
1) Quel est la capitale de la France ?;Paris;Madrid;Lisbonne
2) Quelle equipe a remporter la coupe du monde en 1998 ? ;France;Espagne;Italie
3)Au Moyen-Age, comment appelait-on les villages fortifies ?;Bastide;Tour;Chateau fort
4)Comment appelle-t-on le fruit du plaqueminier ?;Kaki;Kakou;Kali
5)Quel titre de noblesse est immediatement inferieur à celui de comte ?;Vicomte;Duc;Archiduc
6)Quelle est la capitale de la Nouvelle-Zelande ?;Wellington;Sydney;Auckland
7) Quel est le nom du joueur de football qui a ete l’objet du plus gros transfert entre deux clubs en 2017 ?;Neymar;Ronaldo;Messi
8)Dans quel pays aura lieu la prochaine Coupe du monde de football en 2018 ?;Russie;Espagne ;Bresil
9)Choisissez la bonne forme : « Il est ….. être là à 17 heures »;cense;sense;sence
10)En quelle annee Paris organisera-t-elle les Jeux Olympiques ?;2024;2028;2023
